CountryName,LifeExpectancy,GDPercapita
Highincome:OECD,80.6849958198,42538.0274777823
OECDmembers,79.9550147999,37261.5542570564
Oman,76.5910487805,23569.9367222943
Othersmallstates,59.5580995801,4856.027021025
Pakistan,66.4358780488,1256.6595604038
Panama,77.368097561,9534.4084248376
Peru,74.5155365854,6795.7724978042
Philippines,68.5537317073,2587.0167620987
PapuaNewGuinea,62.2989268293,2184.1634610913
Poland,76.7975609756,12710.1178334315
PuertoRico,78.5355365854,27677.5255941778
Portugal,80.3731707317,20175.0599063877
Paraguay,72.1937317073,3813.4714877989
Pacificislandsmallstates,69.6833906138,3466.9102346713
Qatar,78.453804878,93825.306408764
Romania,74.5634146341,8437.4338302651
RussianFederation,70.4609756098,14037.015448307
Rwanda,63.4928536585,619.927057662
SouthAsia,66.6447069079,1396.4675000091
SaudiArabia,75.496902439,25136.2148172776
Sudan,61.8639512195,1580.004016975
Senegal,63.2021707317,1023.2943547429
Singapore,82.143902439,52051.8087736195
SolomonIslands,67.5070731707,1834.8397049889
SierraLeone,45.3290487805,634.922792952
ElSalvador,72.1045365854,3789.5675576278
Serbia,75.2341463415,5189.5793787732
Sub-SaharanAfrica(developingonly),56.4420039306,1629.2476584613
SouthSudan,54.6429512195,943.043265915
Sub-SaharanAfrica(allincomelevels),56.4389132553,1647.4611445914
Smallstates,63.2112551775,5811.7089373769
SaoTomeandPrincipe,66.1348780488,1400.3252453553
Suriname,70.8113902439,9376.4953749994
SlovakRepublic,76.1097560976,16892.5519771459
Slovenia,80.1243902439,22058.7658982325
Sweden,81.7048780488,55039.5738021091
Swaziland,48.8506341463,3041.8504588365
Seychelles,72.7243902439,12782.7335495894
Chad,50.7005853659,1035.2579459749
Togo,56.1503414634,574.1195223244
Thailand,74.1879756098,5479.7605800742
Tajikistan,67.2571707317,953.0058373166
Turkmenistan,65.3135853659,6797.7343069753
Timor-Leste,67.0205853659,1068.3893101576
Tonga,72.489,4493.72025526
TrinidadandTobago,69.8171463415,17436.50121061
Tunisia,75.1,4236.793630997
Turkey,74.8624390244,10666.0556786343
Tanzania,60.8464390244,608.7158942937
Uganda,58.6479756098,551.1559751301
Ukraine,70.9441463415,3866.9897922327
Uppermiddleincome,74.1576389791,7285.2163478508
Uruguay,76.9078292683,14702.8003940863
UnitedStates,78.7414634146,51748.561485176
Uzbekistan,68.104,1716.6617632107
St.VincentandtheGrenadines,72.4012195122,6515.217548105
"Venezuela,RB",74.4875121951,12728.7268472749
Vietnam,75.6066829268,1755.2654235751
Vanuatu,71.4106829268,3183.1557579425
World,70.7792345501,10318.4248068882
Samoa,72.9820487805,3619.6899039473
"Yemen,Rep.",62.9057804878,1498.2615677286
SouthAfrica,56.0983170732,7351.7566483434
"Congo,Dem.Rep.",49.6232682927,261.8363350094
Zambia,57.0225853659,1462.8872607963
Zimbabwe,58.0459756098,714.2330072252
